"0-1 where 0 is good, 1 is bad",,,,,,,,,,,,,,,,,,,,,,,,
Node,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
57,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
58,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
59,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
60,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00
61,0.95,0.95,0.95,0.95,0.95,0.95,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.95,0.95,0.95,0.95,0.95
62,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
63,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
64,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
65,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
66,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
67,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
68,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
69,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
70,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00
71,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
72,0.90,0.90,0.90,0.90,0.90,0.90,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.90,0.90,0.90,0.90,0.90
73,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00
74,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
75,0.35,0.35,0.35,0.35,0.35,0.35,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.35,0.35,0.35,0.35,0.35
76,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
77,0.25,0.25,0.25,0.25,0.25,0.25,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.25,0.25,0.25,0.25,0.25
78,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
79,0.45,0.45,0.45,0.45,0.45,0.45,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.45,0.45,0.45,0.45,0.45
80,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
81,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
82,0.55,0.55,0.55,0.55,0.55,0.55,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.55,0.55,0.55,0.55,0.55
83,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.20
84,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
85,0.10,0.10,0.10,0.10,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.10,0.10
86,0.25,0.25,0.25,0.25,0.25,0.25,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.25,0.25,0.25,0.25,0.25
87,0.15,0.15,0.15,0.15,0.15,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.15,0.15,0.15,0.15
